participant,task_label,task_duration_s,pupil_mean_bc,pupil_slope,blink_time_frac,blink_per_min,pupil_valid_pct,fix_count,fix_rate_hz,fix_dur_mean_s,fix_dur_std_s,fix_dur_total_s,sac_count,sac_rate_hz,sac_amp_mean_px,sac_amp_std_px,pupil_mean_bc_z,pupil_slope_z,blink_time_frac_z,blink_per_min_z,pupil_valid_pct_z,fix_count_z,fix_rate_hz_z,fix_dur_mean_s_z,fix_dur_std_s_z,fix_dur_total_s_z,sac_count_z,sac_rate_hz_z,sac_amp_mean_px_z,sac_amp_std_px_z
P02,task1_6_2,213.68,-0.2213,-0.00055897,0.1532,25.83,96.5,471,2.614,0.3826,0.3472,180.18,369,31.118,191.9615,253.6955,-0.8619605686,-0.845584173,0.004134346598,-0.0990437299,-0.06088252839,-0.2015497285,-0.3601123843,0.1950994455,0.02982083689,-0.214130006,-0.1737087862,-0.4008164157,0.323738657,0.4656922827
P02,task2_2_1,463.79,-0.2685,-0.00024068,0.1293,25.36,98.7,1022,2.544,0.3931,0.3868,401.78,808,32.958,156.5332,217.8789,-1.188669037,-0.4334720828,-0.624662186,-0.5277988238,0.6603412695,0.9121713358,-0.4309778736,0.3041474245,0.5189531437,0.7922888078,1.017824919,0.3516271689,-0.6409566241,-0.3556950799
P02,task2_5_1,740.51,-0.0512,-0.00030471,0.1482,24.39,96.5,1443,2.279,0.4388,0.3591,633.23,1056,34.31,148.7469,187.4284,0.3154358396,-0.516376155,-0.1274130452,-1.412676358,-0.06088252839,1.763126995,-0.6992543687,0.7787657714,0.1768075654,1.843442393,1.690946466,0.9045096289,-0.8529737648,-1.054020881
P02,task3_10_1,80.71,-0.2039,5.231e-05,0.1271,26.76,99.3,275,4.043,0.2473,0.2221,68.02,217,29.478,217.7209,295.1512,-0.7415214299,-0.05411765343,-0.6825430383,0.7493440091,0.8570386689,-0.5977191089,1.086555961,-1.210061656,-1.515392587,-0.7235159904,-0.5862671534,-1.071472654,1.02515452,1.416401956
P02,task3_8_2,28.12,0.0368,0.00129507,0.2361,27.74,90.2,95,4.696,0.2129,0.2486,20.23,76,28.881,233.0639,269.2166,0.924553323,1.554969724,2.185190102,1.643343992,-2.126205222,-0.9615481318,1.74762974,-1.567323606,-1.1880692,-0.9405591092,-0.968969323,-1.315607882,1.442936906,0.8216399549
P02,task3_8_3,78.4,0.1242,0.00104794,0.1317,25.26,98.2,147,2.138,0.4678,0.4142,68.76,107,35.561,133.2826,173.9274,1.529517733,1.23499341,-0.5615194379,-0.6190233119,0.49642677,-0.8564419696,-0.8419977114,1.079945904,0.8573931742,-0.7201552056,-0.8848291297,1.416089479,-1.27405909,-1.363641302
P03,task1_5_2,325.96,0.1415,0.00027734,0.0571,12.33,99.7,659,2.19,0.4566,0.3832,300.93,589,37.516,114.3676,174.792,1.057388251,0.5755698979,-0.9861133516,-1.097856245,0.9155112454,1.258245532,-0.2386047345,0.161430614,-0.8864064522,1.33968403,1.373217606,0.8375701311,-1.074737721,-1.15705153
P03,task1_6_2,87.9,-0.1911,-0.00322614,0.0514,10.92,99.6,222,2.816,0.3551,0.4762,78.83,196,32.996,179.2956,254.5126,-2.016533017,-0.7487383126,-1.163147875,-1.780085115,0.8714962816,-0.8729687992,2.288748291,-2.037926073,0.1097965696,-1.09192487,-0.8331377461,-1.488441784,1.480423007,1.368231656
P03,task2_2_1,184.47,-0.035,-0.00087244,0.0762,13.01,98.3,393,2.371,0.4218,0.4006,165.76,350,37.707,115.6462,171.4566,-0.5738417665,0.1409554305,-0.3928924062,-0.7688380668,0.2993017533,-0.03901536533,0.492147498,-0.5926345358,-0.7000200804,-0.1401924897,0.03143916023,0.9358595726,-1.024420007,-1.262705897
P03,task2_5_1,282.06,-0.0081,-0.00095558,0.1312,16.8,94.9,550,2.265,0.4414,0.462,242.77,465,37.36,141.3784,194.323,-0.3252293729,0.1095286821,1.315335447,1.064954427,-1.197207013,0.7266611792,0.06419315192,-0.1679311756,-0.04231184877,0.7029331358,0.6770647721,0.7572918438,-0.01176126379,-0.5383744761
